doe_id,Material_ID,Blechdicke,Niederhalterkraft,Ziehspalt,Stempel_ID,Einlegeposition,Ziehtiefe,Breite,UG,OG,E,Material_Name,Rp0,Rp0.2,Rp100,Rp25,Rp50
18,6,1.01,440,1.6,2,2,70,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
19,3,1.01,450,1.6,2,-5,50,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
20,1,1.0,160,1.6,2,4,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
21,5,1.48,50,2.4,3,-3,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
22,5,1.48,420,2.4,3,-5,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
23,2,1.19,340,2.4,3,-4,50,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
24,2,1.19,280,2.4,3,-2,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
25,6,1.01,480,2.4,3,2,50,70.2,1.71,2.0,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
26,1,1.0,70,1.6,2,-4,70,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
27,5,1.48,120,2.4,3,-5,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
28,1,1.0,30,1.6,2,-5,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
29,5,1.48,140,2.4,3,0,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
30,5,1.48,130,2.4,3,-2,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
31,1,1.0,270,1.6,2,-1,70,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
32,1,1.0,40,2.4,3,3,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
33,2,1.19,470,2.4,3,-3,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
34,4,0.99,170,1.6,2,5,30,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
35,1,1.0,320,2.4,3,1,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
36,6,1.01,310,1.6,2,4,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
37,2,1.19,490,2.4,3,3,50,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
38,1,1.0,90,1.6,2,2,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
39,1,1.0,60,1.6,2,-3,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
40,6,1.01,110,2.4,3,-5,70,70.2,1.71,2.0,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
41,6,1.01,190,1.6,2,0,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
42,1,1.0,80,1.6,2,5,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
43,4,0.99,370,1.6,2,1,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
44,1,1.0,10,1.6,2,-1,70,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
45,1,1.0,350,1.6,2,-5,50,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
46,5,1.48,380,2.4,3,4,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
47,5,1.48,430,2.4,3,-2,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
48,2,1.19,150,2.4,3,-4,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
49,5,1.48,100,2.4,3,3,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
50,5,1.48,300,2.4,3,0,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
51,1,1.0,260,2.4,3,-5,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
52,3,1.01,60,1.6,2,4,50,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
53,1,1.0,390,1.6,2,2,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
54,3,1.01,250,1.6,2,1,30,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
55,2,1.19,280,2.4,3,-3,50,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
56,1,1.0,370,2.4,3,-1,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
57,4,0.99,20,1.6,2,-5,30,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
58,6,1.01,130,1.6,2,-2,50,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
59,2,1.19,290,2.4,3,5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
60,5,1.48,310,2.4,3,-4,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
61,2,1.19,450,2.4,3,-5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
62,1,1.0,200,2.4,3,-4,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
63,3,1.01,300,1.6,2,-1,70,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
64,6,1.01,440,1.6,2,2,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
65,6,1.01,460,2.4,3,0,30,70.2,1.71,2.0,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
66,6,1.01,410,1.6,2,5,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
67,3,1.01,120,1.6,2,3,50,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
68,5,1.48,30,2.4,3,1,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
69,1,1.0,490,1.6,2,-5,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
70,1,1.0,110,2.4,3,-2,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
71,1,1.0,10,1.6,2,-3,50,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
72,1,1.0,470,1.6,2,4,70,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
73,1,1.0,150,2.4,3,-2,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
74,1,1.0,100,1.6,2,-4,70,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
75,3,1.01,270,2.4,3,1,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
76,5,1.48,380,2.4,3,4,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
77,5,1.48,480,2.4,3,0,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
78,1,1.0,180,1.6,2,3,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
79,4,0.99,210,2.4,3,-1,30,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
80,4,0.99,90,1.6,2,-5,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
81,3,1.01,190,1.6,2,2,50,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
82,2,1.19,350,2.4,3,-3,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
83,2,1.19,430,2.4,3,-5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
84,2,1.19,170,2.4,3,5,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
85,4,0.99,320,1.6,2,-3,30,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
86,3,1.01,500,2.4,3,5,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
87,1,1.0,360,2.4,3,0,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
88,2,1.19,400,2.4,3,2,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
89,4,0.99,420,2.4,3,1,30,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
90,6,1.01,340,1.6,2,-4,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
91,4,0.99,160,2.4,3,-2,50,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
92,1,1.0,220,2.4,3,4,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
93,1,1.0,40,1.6,2,3,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
94,4,0.99,140,1.6,2,-5,30,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
95,2,1.19,330,2.4,3,-5,50,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
96,1,1.0,10,2.4,3,-1,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
97,3,1.01,80,2.4,3,2,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
98,1,1.0,230,1.6,2,-4,50,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
99,5,1.48,70,2.4,3,-5,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
100,1,1.0,260,2.4,3,0,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
101,6,1.01,240,2.4,3,1,70,70.2,1.71,2.0,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
102,4,0.99,50,1.6,2,5,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
103,5,1.48,250,2.4,3,3,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
104,1,1.0,50,2.4,3,-2,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
105,5,1.48,150,2.4,3,-1,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
106,3,1.01,10,2.4,3,-5,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
107,6,1.01,420,1.6,2,4,70,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
108,5,1.48,350,2.4,3,-3,50,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
109,3,1.01,360,2.4,3,3,50,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
110,1,1.0,180,2.4,3,-4,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
111,6,1.01,260,1.6,2,-1,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
112,1,1.0,20,2.4,3,4,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
113,6,1.01,430,1.6,2,1,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
114,2,1.19,230,2.4,3,2,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
115,6,1.01,380,1.6,2,-5,70,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
116,5,1.48,130,2.4,3,0,50,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
117,5,1.48,290,2.4,3,-2,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
118,5,1.48,40,2.4,3,5,50,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
119,2,1.19,370,2.4,3,-5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
120,5,1.48,270,2.4,3,-3,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
121,3,1.01,120,2.4,3,-5,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
122,1,1.0,30,1.6,2,1,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
123,3,1.01,10,1.6,2,0,70,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
124,1,1.0,310,2.4,3,3,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
125,1,1.0,480,1.6,2,-1,50,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
126,2,1.19,90,2.4,3,-5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
127,2,1.19,340,2.4,3,-4,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
128,2,1.19,200,2.4,3,-3,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
129,3,1.01,400,2.4,3,-2,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
130,1,1.0,470,1.6,2,2,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
131,4,0.99,450,2.4,3,4,70,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
132,4,0.99,240,1.6,2,5,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
133,1,1.0,300,1.6,2,0,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
134,4,0.99,410,2.4,3,4,30,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
135,2,1.19,500,2.4,3,3,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
136,3,1.01,170,2.4,3,-4,50,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
137,1,1.0,100,1.6,2,1,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
138,1,1.0,110,1.6,2,-1,50,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
139,4,0.99,70,1.6,2,-3,30,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
140,1,1.0,60,2.4,3,5,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
141,1,1.0,140,1.6,2,-2,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
142,4,0.99,320,1.6,2,-5,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
143,5,1.48,280,2.4,3,-5,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
144,3,1.01,440,2.4,3,2,70,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
145,1,1.0,80,2.4,3,-1,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
146,6,1.01,390,1.6,2,4,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
147,1,1.0,210,1.6,2,2,70,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
148,2,1.19,190,2.4,3,-2,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
149,1,1.0,460,1.6,2,0,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
150,4,0.99,160,2.4,3,-5,70,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
151,1,1.0,490,2.4,3,-3,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
152,1,1.0,220,1.6,2,-4,50,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
153,6,1.01,330,2.4,3,1,30,70.2,1.71,2.0,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
154,1,1.0,160,2.4,3,5,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
155,3,1.01,490,1.6,2,-5,50,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
156,5,1.48,370,2.4,3,3,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
157,5,1.48,310,2.4,3,-5,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
158,4,0.99,220,1.6,2,-5,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
159,5,1.48,340,2.4,3,4,70,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
160,2,1.19,270,2.4,3,-4,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
161,2,1.19,250,2.4,3,0,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
162,6,1.01,20,1.6,2,-3,50,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
163,3,1.01,420,1.6,2,-2,30,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
164,2,1.19,470,2.4,3,2,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
165,1,1.0,430,2.4,3,3,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
166,5,1.48,450,2.4,3,1,30,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
167,1,1.0,180,2.4,3,5,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
168,1,1.0,40,1.6,2,-1,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
169,4,0.99,480,2.4,3,3,50,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
170,6,1.01,280,2.4,3,0,70,70.2,1.71,2.0,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
171,2,1.19,380,2.4,3,-5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
